Language_ID	Language_Name	Language_Macroarea	Language_Family_Name	Parameters_Coded	Mean_Similarity	Median_Similarity	Similarity_SD
awad1243	Awadhi	Eurasia	Indo-European	173	64.7747951505017	64.66	6.32044256915783
awad1244	Awad Bing	Papunesia	Austronesian	162	66.0277633779264	66.19	5.41102295700804
awap1236	Awa (Papua New Guinea)	Papunesia	Nuclear Trans New Guinea	136	64.4111580267559	64.71	6.87677622367914
awar1248	Awara	Papunesia	Nuclear Trans New Guinea	136	63.2749038461538	62.88	7.81547272250081
awar1249	Awar	Papunesia	Lower Sepik-Ramu	165	66.6088837792642	66.89	6.4741119613324
awet1244	Awetí	South America	Tupian	161	64.9527884615385	65	5.58192408543796
awji1241	Awjilah	Africa	Afro-Asiatic	145	61.9754389632107	62.04	5.83590571730158
awtu1239	Awtuw	Papunesia	Sepik	138	63.1609364548495	63.2	6.47208365804733
axam1237	Axamb	Papunesia	Austronesian	195	64.3338377926421	64.41	6.65855886009075
axiy1235	Axi Yi	Eurasia	Sino-Tibetan	166	68.3638503344482	68.24	7.58927136371108
ayac1239	Ayacucho Quechua	South America	Quechuan	166	66.6769565217391	66.23	6.63597733949601
ayiw1239	Äiwoo	Papunesia	Austronesian	172	65.05625	65.28	5.99326275386342
azha1235	Azha	Eurasia	Sino-Tibetan	151	69.1711287625418	69.05	9.28829455763286
baba1264	Baba	Africa	Atlantic-Congo	147	64.4296070234114	65.12	5.91983659750109
baba1266	Babanki	Africa	Atlantic-Congo	159	66.854352006689	66.67	7.38866966347161
baba1267	Baba Malay	Eurasia	Austronesian	191	69.1457817725752	69.05	7.78920291913547
baba1268	Babatana	Papunesia	Austronesian	138	68.0332566889632	68.065	7.76548677358858
babi1235	Witsuwit'en-Babine	North America	Athabaskan-Eyak-Tlingit	169	65.2198996655518	65.22	5.93342306202106
bada1257	Badaga	Eurasia	Dravidian	127	68.1965719063545	67.52	8.31188586979625
bafa1247	Bafaw-Balong	Africa	Atlantic-Congo	130	63.0127801003344	62.7	6.5975155461091
bafi1243	Bafia	Africa	Atlantic-Congo	173	67.3009991638796	66.67	7.19957243235309
bafu1246	Bafut	Africa	Atlantic-Congo	190	66.093118729097	65.89	7.09403416083887
baga1272	Baga Sitemu	Africa	Atlantic-Congo	140	66.8679306020067	66.67	6.11055235183642
baga1273	Baga Koga	Africa	Atlantic-Congo	104	61.5130309364548	60.895	7.36137195373826
bagi1246	Bagirmi	Africa	Central Sudanic	167	69.1639841137124	69.18	6.98942861106982
bagv1239	Bagvalal	Eurasia	Nakh-Daghestanian	170	62.9370192307692	62.79	5.93996766228488
baha1259	Baharna Arabic	Eurasia	Afro-Asiatic	147	63.4410242474916	63.57	6.69032950641988
baha1260	Bahamas Creole English	North America	Indo-European	103	68.0445443143813	68.52	7.80144727812311
bahi1252	Bahing	Eurasia	Sino-Tibetan	161	66.1938712374582	66.67	7.21757572835494
bahn1262	Bahnar	Eurasia	Austroasiatic	117	67.4423913043478	66.96	9.65511144235741
baik1238	Baikeno	Papunesia	Austronesian	103	65.9254180602007	66	7.12876038791559
baim1244	Baima	Eurasia	Sino-Tibetan	193	68.6914088628763	68.94	7.17336668571674
baka1272	Baka (Cameroon)	Africa	Atlantic-Congo	148	71.313779264214	71.53	6.20230569354039
baka1274	Baka (South Sudan)	Africa	Central Sudanic	137	67.0832107023411	67.42	5.99895956202153
baki1244	Baki	Papunesia	Austronesian	152	67.4297157190636	67.44	6.87165432851947
bala1311	Balangingi	Papunesia	Austronesian	153	68.2301714046823	68.42	7.5222825114612
bala1315	Balantak	Papunesia	Austronesian	178	67.9615886287625	68.26	5.96984825872556
bala1316	Balade	Papunesia	Austronesian	152	61.8339799331104	61.36	7.03722220227183
bali1278	Balinese	Papunesia	Austronesian	167	61.6126379598662	61.64	7.66008357706095
balo1261	Loi-Likila	Africa	Atlantic-Congo	117	65.5975418060201	64.96	8.53569027236156
balu1257	Paluai	Papunesia	Austronesian	193	64.339402173913	64.29	6.34576379393715
bamb1262	Bambassi	Africa	Blue Nile Mao	99	60.2015468227425	59.78	8.0484519288602
bamb1266	Bambili-Bambui	Africa	Atlantic-Congo	32	60.9011710581347	60	11.3783071650337
bamb1269	Bambara	Africa	Mande	104	69.047495819398	69.23	7.2610123203542
bamb1270	Bambam	Papunesia	Austronesian	134	64.7886914715719	65.085	6.17656344675893
bamu1253	Bamun	Africa	Atlantic-Congo	159	63.7147700668896	63.77	6.61149709844151
bamw1238	Bamwe	Africa	Atlantic-Congo	102	64.0248787625418	62.77	9.07978174051511
bana1288	Banao Itneg	Papunesia	Austronesian	24	52.4127021365731	50	12.2179044424691
band1340	Bandial	Africa	Atlantic-Congo	87	61.5297951505017	60.98	8.38372194948741
